Benchmark Name,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30
io.reactivex.rxjava3.core.clusters.Cluster_1041._Benchmark.benchmark_Cluster_1041$ ===,147467.137,147820.997,147814.962,147751.839,147782.771,146834.573,147928.218,147591.828,146679.999,147812.731,147126.11,147439.386,147277.18,147521.764,147630.917,147836.275,147206.245,147432.414,147220.217,147367.22,147778.383,147215.557,147933.489,148173.969,147425.49,147939.805,147765.898,140871.596,147556.327,147561.931
io.reactivex.rxjava3.core.clusters.Cluster_1005._Benchmark.benchmark_Cluster_1005$ ===,141709.071,142502.215,142200.29,142143.823,141378.178,141462.895,141694.218,141760.62,142085.631,142396.482,142105.161,142021.002,142390.514,142630.749,137676.393,141819.135,142266.677,141664.486,141390.367,141282.63,141492.951,141347.03,140970.403,141380.337,141259.814,141054.956,141141.322,141403.863,141853.433,141348.151
io.reactivex.rxjava3.core.clusters.Cluster_1007._Benchmark.benchmark_Cluster_1007$ ===,187964.309,188246.347,189468.468,190436.452,190159.876,190354.261,191185.714,190399.554,190270.279,189836.918,188798.351,189999.938,189884.145,189933.303,190439.738,190410.915,190534.38,188422.791,190426.598,189950.356,190336.696,190602.06,190308.166,190286.189,190217.209,190845.256,190970.55,189576.619,189077.3,190221.289
io.reactivex.rxjava3.core.clusters.Cluster_1023._Benchmark.benchmark_Cluster_1023$ ===,170934.344,170690.349,170766.288,171356.865,171111.574,171478.057,170625.978,170945.988,171455.387,168683.752,171472.096,171226.42,171092.819,171297.966,170944.705,171661.904,171869.18,171009.196,171542.031,171546.207,171182.491,170508.882,171337.665,170930.823,171101.039,171451.215,170786.913,170584.187,170760.854,171412.594
io.reactivex.rxjava3.core.clusters.Cluster_176._Benchmark.benchmark_Cluster_176$ ===,116841.794,116235.789,117051.59,116730.851,116958.513,117699.268,116084.476,115860.48,114823.97,116215.56,116594.087,116766.053,116509.68,116985.8,116889.193,117161.591,115952.467,117349.208,117775.856,117640.644,116700.793,115683.044,116733.139,115617.864,116521.085,115496.773,117885.94,116765.306,116419.75,116652.211
io.reactivex.rxjava3.core.clusters.Cluster_162._Benchmark.benchmark_Cluster_162$ ===,182719.115,182955.769,182498.636,182244.552,183182.204,182786.58,181053.798,181535.286,182373.786,183163.327,183473.697,183525.65,182231.545,182459.45,183566.222,182940.257,182984.856,183195.952,182187.766,183674.838,183694.352,182502.459,183671.862,183418.292,182593.754,183453.224,182364.559,182965.455,182279.318,183226.512
io.reactivex.rxjava3.core.clusters.Cluster_126._Benchmark.benchmark_Cluster_126$ ===,180868.23,180634.5,178296.904,178600.513,180712.973,180085.639,180476.745,180887.221,181334.712,181809.294,181183.848,180140.684,179305.226,178616.024,179063.118,178779.21,178672.73,178664.225,178446.759,178618.681,179894.423,178473.482,179640.735,180686.375,180789.042,180857.524,182431.485,181897.572,181858.412,180690.214
io.reactivex.rxjava3.core.clusters.Cluster_1037._Benchmark.benchmark_Cluster_1037$ ===,162807.092,163065.17,162697.981,162869.275,162447.092,163401.286,163192.539,163692.416,163502.449,161867.337,161492.921,163153.979,162632.085,162092.362,162832.748,163301.327,162891.534,162488.016,161995.166,163138.538,162542.174,162078.035,162902.6,162503.525,162076.65,162389.541,162878.096,162143.615,160810.553,162020.807
io.reactivex.rxjava3.core.clusters.Cluster_13._Benchmark.benchmark_Cluster_13$ ===,147337.161,147486.337,148525.98,148144.639,148154.77,148301.759,148153.034,148302.087,148787.757,147962.48,147029.674,147400.822,148530.184,148012.151,148221.095,148578.679,149132.377,148414.987,148008.273,148109.991,148246.87,148670.348,148157.655,148786.04,148633.581,148228.112,148444.519,148613.813,148474.215,148227.362
io.reactivex.rxjava3.core.clusters.Cluster_1044._Benchmark.benchmark_Cluster_1044$ ===,185875.706,185816.12,185923.462,187019.787,186701.423,185631.678,185963.21,185843.144,185216.283,186623.323,186331.747,186656.718,185959.833,187500.899,186848.256,185847.972,184690.883,184587.156,185360.39,186712.298,186959.909,186091.198,185642.806,185658.36,185722.413,186165.478,185889.989,186079.083,184921.067,185094.608
io.reactivex.rxjava3.core.clusters.Cluster_1039._Benchmark.benchmark_Cluster_1039$ ===,153521.091,153024.322,151748.979,152625.707,152812.931,153971.591,152550.575,152799.455,153174.264,151787.886,152533.621,152187.048,152687.343,152054.691,152714.688,152440.911,151829.277,152749.975,152441.757,152382.229,151670.295,153248.286,153012.911,152524.909,152441.036,152759.913,152521.519,152562.439,151909.316,152054.771
io.reactivex.rxjava3.core.clusters.Cluster_118._Benchmark.benchmark_Cluster_118$ ===,128501.601,129981.983,129570.486,130071.573,130085.352,129937.616,130433.166,127326.546,128425.007,127961.087,128102.134,128799.938,127615.471,128851.985,128460.015,127899.521,128509.999,129894.135,129700.987,130169.051,130422.483,130057.935,130462.552,132942.527,132230.337,130598.685,130686.04,130257.58,130505.258,131092.234
io.reactivex.rxjava3.core.clusters.Cluster_131._Benchmark.benchmark_Cluster_131$ ===,224071.709,229638.865,229504.418,228948.872,226334.725,226539.292,227251.039,227970.322,229210.162,230559.015,231192.576,229078.649,228766.584,227227.019,228227.858,230459.234,224438.414,229103.246,225183.321,225702.436,225496.345,226237.173,226009.269,226227.122,229163.359,227542.164,227041.326,229360.533,229812.018,230783.567
io.reactivex.rxjava3.core.clusters.Cluster_137._Benchmark.benchmark_Cluster_137$ ===,196030.406,193580.308,195507.686,195949.415,195559.704,194438.451,193647.976,194449.462,194573.172,194443.81,194284.333,194049.372,193885.48,194370.868,193918.236,194300.064,194421.103,194159.896,194382.869,194436.379,194055.117,194386.861,194542.702,194126.481,193709.407,193587.431,194268.501,194319.108,194163.251,194232.484
io.reactivex.rxjava3.core.clusters.Cluster_172._Benchmark.benchmark_Cluster_172$ ===,128301.825,127671.341,130602.668,130477.133,130734.509,130810.726,130675.041,129337.335,127741.818,127801.916,127758.23,129063.922,130898.755,127678.966,127535.274,127145.048,127928.615,127784.704,127883.941,126619.078,127787.18,128398.884,130190.791,130555.406,130719.382,130832.445,130563.507,130665.104,130744.229,131329.55
io.reactivex.rxjava3.core.clusters.Cluster_166._Benchmark.benchmark_Cluster_166$ ===,203084.305,203408.673,203166.98,202796.826,203455.739,203277.697,203210.285,202826.945,203737.751,203810.992,203195.735,202880.681,203146.68,203723.234,203840.108,202962.439,203681.145,203587.148,203068.521,202922.039,203591.709,203179.378,203013.448,203136.482,202654.584,203160.548,202283.538,203503.998,202804.986,203556.698
