Benchmark Name,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30
io.reactivex.rxjava3.internal.operators.maybe.MaybeMaterializeTest._Benchmark.benchmark_dispose$ ===,8202880.927,8080678.206,8046538.087,7983744.96,8196549.735,8096454.047,8046238.161,8027629.536,7937372.894,7974958.438,8059049.566,8117374.034,8050102.176,8026121.864,8048457.265,8095061.999,8011573.983,7948867.466,8037001.572,8028478.196,8153934.511,8095781.923,8094536.906,8151190.629,8114760.86,8081911.809,8024023.431,8009991.509,8187987.694,8028285.174
io.reactivex.rxjava3.completable.CompletableRetryTest._Benchmark.benchmark_retryTimesPredicateWithZeroRetries$ ===,697254.392,696998.67,699337.653,698481.594,695224.362,694999.687,695614.784,685319.076,698775.678,696530.104,696045.499,695099.584,700228.772,697367.458,698912.337,696572.437,698067.404,698376.428,697771.938,699006.537,697244.895,694015.1,697823.938,698393.028,699185.794,697560.032,699496.797,695642.098,698646.487,697202.257
io.reactivex.rxjava3.internal.jdk8.MaybeFlattenStreamAsFlowableTest._Benchmark.benchmark_fusedManyRejected$ ===,4085887.133,4119869.079,4116113.082,4120275.025,4155612.999,4130518.237,4085552.539,4105723.54,4183757.654,4175362.957,4118484.828,4161003.766,4075928.69,4191220.465,4139711.451,4202490.062,4110980.429,4133042.832,4094235.235,4180868.803,4080855.802,4093911.204,4178110.79,4083028.76,4118452.26,4109681.112,4177502.7,4164250.003,4122690.354,4145707.423
io.reactivex.rxjava3.internal.operators.flowable.FlowableDoFinallyTest._Benchmark.benchmark_asyncFusedBoundaryConditional$ ===,1861405.077,1874502.392,1873070.012,1913095.043,1888093.024,1891236.78,1899994.366,1909611.666,1879258.95,1865344.62,1889813.808,1871810.098,1891692.868,1902450.358,1918227.524,1869770.746,1870872.505,1901741.638,1882538.827,1898787.982,1912841.514,1884775.099,1898698.532,1923884.154,1885941.832,1904747.43,1869970.657,1879856.662,1884955.91,1865129.747
io.reactivex.rxjava3.internal.operators.mixed.FlowableConcatMapSingleTest._Benchmark.benchmark_mainBoundaryErrorInnerSuccess$ ===,711360.985,708648.078,708007.939,713169.262,706418.404,710268.176,706251.833,704846.683,709571.629,712698.966,709374.24,707938.406,710593.823,708371.517,705093.047,710579.308,707082.677,707633.859,706997.881,711625.712,707278.923,706780.551,710801.962,705784.499,711024.384,711385.192,705997.539,709975.81,711662.338,708055.905
io.reactivex.rxjava3.internal.operators.mixed.FlowableSwitchMapSingleTest._Benchmark.benchmark_doubleOnSubscribe$ ===,655455.819,656700.442,654853.357,657439.219,656576.922,657874.939,653447.27,657760.864,654823.331,654632.431,655853.362,654632.149,656220.245,655899.858,657017.597,655321.867,656208.056,650340.384,656148.96,657326.847,653970.193,655774.872,655201.523,656339.166,657929.178,655780.047,653927.796,655524.863,655604.58,656247.204
io.reactivex.rxjava3.internal.operators.mixed.ObservableSwitchMapCompletableTest._Benchmark.benchmark_innerErrorThenMainError$ ===,247841.687,248219.665,248087.62,247970.573,248039.78,248300.345,249717.312,248651.803,249124.801,247731.797,247881.958,248500.578,248115.047,248367.869,248282.304,248671.346,248713.276,248878.089,248109.669,244585.495,247835.729,248715.741,248584.079,248234.74,248465.466,248989.277,248551.932,249063.479,247519.759,248844.858
io.reactivex.rxjava3.internal.operators.observable.ObservableConcatMapEagerTest._Benchmark.benchmark_arrayDelayErrorMaxConcurrency$ ===,1273087.043,1263581.996,1286084.707,1270587.931,1266041.75,1274573.045,1278556.566,1265014.694,1275630.765,1282077.558,1276532.279,1271762.225,1264123.357,1268181.232,1275551.373,1268848.1,1275858.352,1264622.605,1287262.719,1269352.357,1272740.461,1283987.569,1271282.18,1250719.598,1271254.222,1267533.271,1258481.984,1266039.127,1280426.146,1268457.488
io.reactivex.rxjava3.internal.jdk8.FlowableStageSubscriberOrErrorTest._Benchmark.benchmark_lastCompletableFutureCancels$ ===,1010101.812,1009111.778,1008615.976,1004863.561,1007278.677,1007561.671,1008193.542,1009014.051,1005844.932,1011613.436,1010000.401,1009115.235,1007509.999,1008714.371,998203.172,1008657.454,1007527.865,1004954.26,1004810.611,1006960.125,1008691.083,1008410.474,1007839.065,1007138.752,1009997.074,1006794.943,1006988.465,1007902.595,1010159.33,1008104.728
io.reactivex.rxjava3.internal.operators.completable.CompletableMaterializeTest._Benchmark.benchmark_dispose$ ===,8190282.731,8092450.777,8130080.562,8233120.688,8228474.894,8270959.676,8060030.186,8021735.666,8266450.989,8006667.708,8146999.365,8050131.307,8039116.612,8168329.703,8113084.631,8194825.241,8204274.626,8217655.701,8269058.412,8010556.215,7999017.673,8073101.216,8260325.629,8027118.151,8111021.749,8123984.045,8226862.782,7999189.192,8178550.238,8124896.992
io.reactivex.rxjava3.internal.operators.mixed.FlowableSwitchMapCompletableTest._Benchmark.benchmark_mapperCancels$ ===,6924596.991,6913719.612,6855664.348,6894681.63,6880836.418,6854748.932,6884279.86,6906176.404,6819576.082,6871373.896,6920783.763,6822476.374,6862254.9,6832885.893,6879489.811,6925247.008,6836586.613,6885675.959,6828334.039,6893675.104,6876489.805,6910484.004,6853421.971,6922883.105,6846092.406,6831995.778,6867284.879,6940604.527,6851352.179,6849699.141
io.reactivex.rxjava3.internal.jdk8.MaybeFlattenStreamAsFlowableTest._Benchmark.benchmark_badRequest$ ===,654932.952,653650.49,654933.207,650285.433,653476.055,657218.78,655835.309,655520.823,652776.954,648068.946,641942.815,656805.561,655644.35,656663.074,658242.511,648895.21,650606.667,652974.462,651268.377,659476.668,653832.205,657025.304,653740.831,655665.599,651536.375,654881.814,649314.887,647750.37,637532.495,655464.156
io.reactivex.rxjava3.internal.operators.mixed.ObservableSwitchMapCompletableTest._Benchmark.benchmark_switchOver$ ===,2649589.332,2617731.82,2616030.045,2618791.152,2666117.771,2622224.322,2664150.383,2613272.293,2643198.797,2634057.885,2685851.739,2622437.43,2683577.934,2647702.755,2617501.834,2684266.376,2682506.163,2662073.383,2662669.865,2625888.904,2680000.881,2631724.284,2635325.002,2672271.401,2648440.755,2628868.574,2669897.819,2653117.688,2660461.737,2626463.988
